Code_Site;Site_Name;lat;long
BDA_S006;Ecole Sous PrÈfectorale GarÁon;;
BDA_S007;Camp Fonctionnaire;;
BDA_S008;Ecole Samboli;;
BDA_S009;Ecole Cotonaf;;
BDA_S011;Deux Ponts;;
KBO_S001;SITE A;7,4154;18,3652
KBO_S002;SITE B;7,4154;18,3652
KBO_S003;CitÈ de la Paix (SITE C - Kabo);7,4047;18,364
SDO_S001;Famille d'accueille Moyen Sido;;
SDO_S002;CitÈ de la paix (Moyenne Sido);8,1249;18,4245
