SSID;Name;idp;Date_Creation;lat;long;status;type of site;exact location
BGI_S060;Hopital des Castors / ;1004;5.12.2013;;;;health centre/hospital;3eme  Castorse  Bangui
BGI_S061;Orphelinat APEESA;259;;;;;other;6eme arrondissement
BGI_S062;Ecole Islamique PK5 Ecole Francoarabe Nasradin;87;5.12.2013;;;;school;3eme arrondissement  KM 5
BGI_S063;Monastere St Pierre Celestin;236;5.12.2013;;;;religious_building;Bimbo
BGI_S064;PK 5 Mosquee Mali Maka;0;;;;;religious_building;5 eme arrondisement  Quartier edville
BGI_S065;Ex-Base Aerienne;8 000;28.12.2013;;;;other;Airport
BGI_S066;Guitangola Source (eglise);5541;5.12.2013;;;;religious_building;BIMBO 3  GUITANGOLA SOURCE
BGI_S058;Communaute d'accueil Pere Lazariste;422;27.12.2013;;;;host families;7ème arrondissement OUANGO
BGI_S059;Mosquee Central;422;5.12.2013;;;;religious_building;3eme arrondissement  Quartier Senegalais
BGI_S067;St Sauveur;19 280;24.12.2013;;;;religious_building;2èmé Arrondissement Quartier SICA 2
BGI_S070;Soeur De Malgash / Nzila ;122;5.12.2013;;;;host families;Nzila
BGI_S072;Action pour la Compassion ;133;27.12.2013;;;;religious_building;5 eme
BGI_S073;Eglise Chapel de venceurs;65;25.12.2013;;;;host families;1ere
BGI_S076;Guitangola Famille d'aceuil;1705;5.12.2013;;;;religious_building;Bimbi
BGI_S077;St Francois D'Assise;111;5.12.2013;;;;religious_building;6eme arrondissement
BGI_S078;St Famille;0;;;;;other;4eme
BGI_S079;Maison micheline;85;27.12.2013;;;;ONG;bimbo
BGI_S068;Centre Jean 23;3 200;25.12.2013;;;;health centre/hospital;2eme arrondissement  Bangui à coté de la paroisse Saint Sauveur
BGI_S081;SECA (Siege Caritas);102;5.12.2013;;;;ONG;Bimbo
BGI_S082;PK 5 Fulbe;0;;;;;host families;3eme
BGI_S069;eglise Four Square;617;5.12.2013;;;;religious_building;5 eme arondossement Benz-Vi
BGI_S084;Lycee des Marthyrs;100;;;;;school;2eme
BGI_S085;OUHAM2/GUIDA;112;5.12.2013;;;;host families;3eme
BGI_S086;ASECNA - Article 10;2 497;25.12.2013;;;;administrational building;5eme
BGI_S087;Communaute d'accueil 5e Arrondissement;0;;;;;host families;5eme
BGI_S088;Mosquee Oumou Mubarak Ba/Moustapha;0;;;;;religious_building;3eme
BGI_S089;Ecole St Charles;48;;;;;school;2eme
BGI_S090;Marche Sambo;230;;;;;public institution;3eme
BGI_S091;;;;;;;;
BGI_S092;Mosque Rumah;;;;;;church/mosque/religious institution/ parish;5eme
BGI_S093;Ecole Communautaire Francoarabe Alacam;;;;;;school;5eme
BGI_S094;Mission Evangelique de Freres;;;;;;church/mosque/religious institution/ parish;3eme
BGI_S095;Famille Camerounais Norte;;;;;;host families;3eme
BGI_S096;jehova Sica 2;;;;;;church/mosque/religious institution/ parish;2eme
BGI_S097;Jehova Combattant;;;;;;church/mosque/religious institution/ parish;8eme
BGI_S080;Pere Comboniens / St Joseph de Bimbo;1880;5.12.2013;;;;religious_building;Bimbo
BGI_S099;Dana;65;;;;;host families;Bimbo
BGI_S100;Bossambo;;;;;;host families;Bimbo
BGI_S101;Eglise Adventiste;;;;;;church/mosque/religious institution/ parish;3eme
BGI_S083;Eglise Evangelique Lutherienne;1 857;5.12.2013;;;;religious_building;8eme
BGI_S098;Capucins;145;25.12.2013;;;;church/mosque/religious institution/ parish;Bimbo
BGI_S102;Complex Scolaire Adventiste;;;;;;school;3eme
BGI_S103;Complexe Pédagogique Bethanie;;;;;;school;
